train_no,train_name,source,destination,day_of_week,is_weekend,distance_km,weather,congestion,historical_avg_delay,technical_issue,signal_issue,delay_minutes
12259,Sealdah Duronto Express,Bhopal Jn,Kota Jn,6,1,279,Light Rain,Medium,18.3,0,0,33.9
12723,Telangana Express,Howrah Jn,Chennai Central,0,0,753,Clear,Medium,10.4,0,0,29.0
22439,Vande Bharat Express,Mughal Sarai,Vijayawada Jn,2,0,724,Heavy Rain,Medium,30.6,1,0,102.4
12626,Kerala Express,Bhopal Jn,Vijayawada Jn,0,0,838,Light Rain,High,31.3,0,0,55.7
12951,Mumbai Rajdhani Express,Howrah Jn,Chennai Central,0,0,204,Light Rain,Low,16.2,0,0,22.0
12951,Mumbai Rajdhani Express,Mughal Sarai,Delhi Junction,5,1,1461,Clear,Low,20.8,0,0,25.2
12723,Telangana Express,Chennai Central,Mumbai Central,3,0,954,Clear,Low,33.0,0,0,12.1
12723,Telangana Express,Mumbai Central,Vijayawada Jn,4,0,224,Fog,Medium,19.4,0,0,54.9
12626,Kerala Express,Kanpur Central,Mughal Sarai,1,0,1995,Clear,Medium,13.8,0,0,40.5
12009,Shatabdi Express,Chennai Central,Patna Jn,4,0,2176,Clear,Low,31.8,0,0,32.7
12009,Shatabdi Express,Vijayawada Jn,Surat,6,1,161,Storm,Low,30.8,0,0,50.3
12903,Golden Temple Mail,Kota Jn,Mughal Sarai,6,1,1650,Storm,High,31.5,0,0,84.8
12301,Howrah Rajdhani Express,Mumbai Central,Ajmer Jn,1,0,1281,Light Rain,High,19.0,1,0,116.4
12471,Swaraj Express,Nagpur Jn,Delhi Junction,1,0,2131,Clear,High,0.0,0,0,55.3
12259,Sealdah Duronto Express,Vijayawada Jn,Howrah Jn,5,1,375,Clear,High,13.0,1,0,72.9
12951,Mumbai Rajdhani Express,Kota Jn,Vadodara Jn,4,0,1440,Clear,High,13.6,0,0,60.8
12301,Howrah Rajdhani Express,Chennai Central,Kanpur Central,5,1,1496,Fog,Low,33.9,0,0,71.4
12471,Swaraj Express,Patna Jn,Surat,1,0,1724,Clear,High,22.4,0,0,51.2
12301,Howrah Rajdhani Express,Howrah Jn,New Delhi,3,0,1415,Clear,High,27.0,0,0,67.4
12009,Shatabdi Express,Surat,Patna Jn,0,0,188,Storm,Low,33.6,0,0,52.5
12841,Coromandel Express,Ajmer Jn,Vadodara Jn,2,0,2005,Heavy Rain,Medium,22.8,0,0,70.2
12301,Howrah Rajdhani Express,Chennai Central,Vijayawada Jn,5,1,1163,Clear,Low,28.7,0,1,48.0
12626,Kerala Express,Vadodara Jn,Delhi Junction,5,1,863,Clear,Low,18.8,0,0,13.3
12903,Golden Temple Mail,Howrah Jn,Patna Jn,1,0,2033,Clear,High,11.0,0,0,63.5
12471,Swaraj Express,New Delhi,Mughal Sarai,4,0,844,Heavy Rain,High,24.1,0,0,54.2
12951,Mumbai Rajdhani Express,Kanpur Central,New Delhi,1,0,1685,Light Rain,Medium,36.1,0,0,64.1
12259,Sealdah Duronto Express,Nagpur Jn,Patna Jn,6,1,2158,Fog,Low,9.8,0,0,63.8
22439,Vande Bharat Express,Delhi Junction,Kota Jn,0,0,2106,Clear,Low,24.0,0,0,20.6
12301,Howrah Rajdhani Express,Delhi Junction,Surat,3,0,1389,Light Rain,Medium,0.0,0,0,38.0
12723,Telangana Express,Chennai Central,Nagpur Jn,1,0,452,Clear,Low,12.6,1,0,59.7
12903,Golden Temple Mail,Lucknow NR,Mughal Sarai,5,1,643,Clear,Medium,16.7,0,0,38.4
12259,Sealdah Duronto Express,Mumbai Central,Nagpur Jn,5,1,1111,Light Rain,Low,0.0,0,0,19.1
12259,Sealdah Duronto Express,Lucknow NR,Vijayawada Jn,4,0,290,Storm,Low,9.0,0,0,32.3
22439,Vande Bharat Express,Mumbai Central,Lucknow NR,1,0,1101,Clear,Medium,17.8,0,0,37.5
12626,Kerala Express,Mughal Sarai,Nagpur Jn,3,0,295,Clear,High,11.2,0,0,47.7
12259,Sealdah Duronto Express,Mughal Sarai,Surat,6,1,1148,Clear,Low,30.5,0,0,25.4
12471,Swaraj Express,Bhopal Jn,Patna Jn,1,0,216,Light Rain,High,0.0,0,0,49.5
12841,Coromandel Express,Ajmer Jn,Delhi Junction,2,0,779,Clear,Low,32.6,0,0,24.0
12301,Howrah Rajdhani Express,Bhopal Jn,Mumbai Central,1,0,460,Fog,Low,23.4,0,0,44.2
12841,Coromandel Express,Ajmer Jn,New Delhi,1,0,1710,Clear,High,9.3,0,0,74.8
12626,Kerala Express,Vijayawada Jn,Kanpur Central,3,0,539,Light Rain,Low,0.0,0,0,22.8
12471,Swaraj Express,Mumbai Central,Delhi Junction,3,0,969,Fog,Medium,29.4,0,0,70.6
12723,Telangana Express,New Delhi,Mughal Sarai,4,0,2159,Light Rain,Low,6.1,0,0,37.1
12301,Howrah Rajdhani Express,Kota Jn,Ajmer Jn,3,0,1270,Clear,Medium,16.9,0,0,41.1
12009,Shatabdi Express,Mumbai Central,Delhi Junction,1,0,2100,Clear,Medium,6.2,0,0,28.9
12903,Golden Temple Mail,Mughal Sarai,Howrah Jn,1,0,268,Heavy Rain,Medium,10.3,1,0,107.3
12951,Mumbai Rajdhani Express,Howrah Jn,Nagpur Jn,1,0,1717,Clear,High,27.0,0,0,51.8
12723,Telangana Express,Vijayawada Jn,New Delhi,3,0,610,Light Rain,Low,35.7,0,0,25.0
12259,Sealdah Duronto Express,Vadodara Jn,Bhopal Jn,6,1,1904,Light Rain,Medium,11.8,0,0,38.0
12301,Howrah Rajdhani Express,Lucknow NR,Vijayawada Jn,2,0,1978,Heavy Rain,High,13.3,0,0,84.4
22439,Vande Bharat Express,Howrah Jn,Ajmer Jn,6,1,1017,Heavy Rain,Medium,0.0,0,0,54.2
12471,Swaraj Express,Delhi Junction,Ajmer Jn,3,0,1746,Storm,Low,26.6,0,0,78.4
12259,Sealdah Duronto Express,Surat,Nagpur Jn,5,1,835,Heavy Rain,Medium,6.0,0,0,56.3
12009,Shatabdi Express,Ajmer Jn,Delhi Junction,4,0,839,Light Rain,Medium,0.0,0,0,30.1
12841,Coromandel Express,Mumbai Central,Surat,3,0,574,Clear,High,8.1,0,0,35.0
12951,Mumbai Rajdhani Express,Surat,Kanpur Central,6,1,737,Fog,Low,18.2,0,0,34.1
22439,Vande Bharat Express,Bhopal Jn,Vadodara Jn,0,0,1933,Heavy Rain,Low,28.6,0,0,49.7
12009,Shatabdi Express,Mumbai Central,Kanpur Central,4,0,408,Clear,Medium,48.5,0,0,40.5
12009,Shatabdi Express,Lucknow NR,Kanpur Central,2,0,1710,Clear,Low,12.0,0,1,47.0
12471,Swaraj Express,New Delhi,Vadodara Jn,5,1,1590,Heavy Rain,High,11.2,0,0,84.6
12009,Shatabdi Express,Nagpur Jn,Bhopal Jn,2,0,591,Clear,Low,0.0,0,0,10.7
12009,Shatabdi Express,Kota Jn,Howrah Jn,2,0,745,Clear,Medium,17.4,0,1,69.0
22439,Vande Bharat Express,Vijayawada Jn,Delhi Junction,3,0,1827,Clear,Medium,0.0,0,0,41.8
12471,Swaraj Express,Mumbai Central,Vijayawada Jn,4,0,2078,Clear,Low,29.7,0,0,38.2
12471,Swaraj Express,Delhi Junction,Nagpur Jn,3,0,728,Clear,Low,23.1,0,0,20.2
12626,Kerala Express,Vadodara Jn,Mumbai Central,0,0,850,Clear,Low,14.3,0,0,13.0
12471,Swaraj Express,Delhi Junction,Mughal Sarai,3,0,168,Clear,Low,28.0,0,0,14.4
12723,Telangana Express,Howrah Jn,Kanpur Central,0,0,481,Light Rain,Medium,15.3,1,0,73.6
12626,Kerala Express,New Delhi,Patna Jn,3,0,2006,Fog,Medium,15.8,0,0,63.0
12301,Howrah Rajdhani Express,Bhopal Jn,New Delhi,1,0,1291,Clear,Low,30.4,0,0,34.3
12903,Golden Temple Mail,Lucknow NR,Chennai Central,1,0,1549,Clear,Low,18.3,0,0,28.4
12259,Sealdah Duronto Express,Nagpur Jn,Chennai Central,5,1,1673,Clear,Medium,49.6,0,0,36.8
12259,Sealdah Duronto Express,Delhi Junction,Mumbai Central,4,0,1387,Fog,Low,41.5,0,0,61.1
12259,Sealdah Duronto Express,Surat,Ajmer Jn,2,0,815,Clear,High,17.8,0,0,45.1
12471,Swaraj Express,Vijayawada Jn,Patna Jn,0,0,1030,Clear,Low,5.7,0,0,11.5
12626,Kerala Express,Chennai Central,Bhopal Jn,2,0,168,Light Rain,Medium,16.5,0,0,29.3
12009,Shatabdi Express,Bhopal Jn,Nagpur Jn,2,0,507,Clear,High,12.4,0,0,32.6
12301,Howrah Rajdhani Express,Kota Jn,Mughal Sarai,2,0,1454,Clear,Low,0.0,0,0,19.6
12841,Coromandel Express,Kanpur Central,New Delhi,6,1,1614,Clear,Medium,18.0,0,0,34.5
12471,Swaraj Express,Surat,Kota Jn,5,1,2145,Storm,Low,9.0,0,0,67.5
12259,Sealdah Duronto Express,Kota Jn,Delhi Junction,6,1,1173,Clear,Low,0.7,0,0,6.6
12301,Howrah Rajdhani Express,Kanpur Central,Vadodara Jn,1,0,1201,Clear,Medium,13.9,0,0,45.9
12259,Sealdah Duronto Express,Kota Jn,Vadodara Jn,5,1,1033,Clear,Medium,17.8,1,0,82.3
12903,Golden Temple Mail,Mughal Sarai,Ajmer Jn,3,0,1701,Clear,Medium,40.6,0,0,52.3
12626,Kerala Express,Howrah Jn,Lucknow NR,1,0,427,Heavy Rain,High,2.9,0,0,64.2
12841,Coromandel Express,Delhi Junction,Howrah Jn,1,0,1993,Heavy Rain,Medium,0.0,0,0,66.6
12903,Golden Temple Mail,Chennai Central,Bhopal Jn,3,0,2040,Heavy Rain,Low,0.0,1,0,99.7
12301,Howrah Rajdhani Express,Chennai Central,Patna Jn,3,0,644,Clear,Low,15.1,0,1,46.5
12903,Golden Temple Mail,Bhopal Jn,Mughal Sarai,1,0,1611,Light Rain,Medium,26.9,1,0,84.3
12951,Mumbai Rajdhani Express,Surat,Mumbai Central,6,1,1439,Fog,High,23.8,0,1,117.7
12841,Coromandel Express,Mughal Sarai,Lucknow NR,1,0,370,Fog,High,7.7,0,0,66.5
12841,Coromandel Express,Chennai Central,Vadodara Jn,6,1,403,Clear,High,38.0,0,0,64.8
22439,Vande Bharat Express,Surat,Chennai Central,2,0,355,Fog,Medium,13.7,1,0,89.4
12723,Telangana Express,Bhopal Jn,Howrah Jn,0,0,1364,Heavy Rain,Low,0.0,1,0,84.3
12723,Telangana Express,Bhopal Jn,Kanpur Central,6,1,341,Clear,Medium,0.0,0,0,15.2
12903,Golden Temple Mail,Kota Jn,Howrah Jn,5,1,1149,Light Rain,Medium,23.9,0,0,40.5
12841,Coromandel Express,Mughal Sarai,Lucknow NR,4,0,289,Clear,Low,0.0,0,0,13.6
12259,Sealdah Duronto Express,Howrah Jn,Ajmer Jn,1,0,510,Clear,Low,2.1,1,0,58.5
12723,Telangana Express,Howrah Jn,New Delhi,3,0,1099,Clear,High,13.2,0,0,62.3
12626,Kerala Express,Howrah Jn,Vijayawada Jn,2,0,1421,Heavy Rain,High,38.0,0,0,80.5
22439,Vande Bharat Express,Vadodara Jn,Kota Jn,6,1,793,Fog,Low,38.1,0,0,56.2
12951,Mumbai Rajdhani Express,Kota Jn,Lucknow NR,6,1,1823,Heavy Rain,Low,14.8,0,0,67.4
12841,Coromandel Express,Nagpur Jn,Ajmer Jn,1,0,594,Clear,Medium,22.0,0,0,32.4
12903,Golden Temple Mail,Vijayawada Jn,Howrah Jn,4,0,1157,Clear,High,35.9,1,0,100.0
12841,Coromandel Express,New Delhi,Kanpur Central,0,0,1386,Clear,Low,12.3,0,0,28.4
12471,Swaraj Express,Vijayawada Jn,Kanpur Central,0,0,787,Clear,Low,9.5,0,0,7.6
12009,Shatabdi Express,Vadodara Jn,Mughal Sarai,2,0,290,Clear,Medium,21.9,0,0,29.4
12723,Telangana Express,Mughal Sarai,Bhopal Jn,6,1,2176,Clear,Low,4.8,0,0,33.9
12009,Shatabdi Express,Mughal Sarai,Surat,1,0,2045,Light Rain,Low,10.7,0,0,36.7
12626,Kerala Express,Howrah Jn,Kota Jn,3,0,1309,Clear,Low,35.2,0,0,16.2
12723,Telangana Express,Kota Jn,Surat,4,0,203,Heavy Rain,Low,34.4,0,0,37.6
12903,Golden Temple Mail,Howrah Jn,Patna Jn,5,1,2165,Heavy Rain,Low,25.2,0,0,52.2
12626,Kerala Express,Delhi Junction,Bhopal Jn,1,0,1390,Light Rain,Low,26.0,1,0,77.9
22439,Vande Bharat Express,Vadodara Jn,Delhi Junction,4,0,315,Light Rain,Low,5.6,0,0,20.6
22439,Vande Bharat Express,Howrah Jn,Kota Jn,3,0,1735,Clear,High,31.4,0,0,62.9
12723,Telangana Express,Mughal Sarai,Patna Jn,5,1,1899,Clear,Low,2.2,1,0,65.1
22439,Vande Bharat Express,Ajmer Jn,Lucknow NR,5,1,1202,Light Rain,Low,8.3,0,0,32.8
12259,Sealdah Duronto Express,Mumbai Central,Bhopal Jn,3,0,1094,Clear,Low,26.8,0,0,26.2
12841,Coromandel Express,Mumbai Central,New Delhi,4,0,185,Clear,Low,25.1,0,0,11.3
12259,Sealdah Duronto Express,Mughal Sarai,Howrah Jn,4,0,1262,Clear,Low,40.0,0,0,35.5
22439,Vande Bharat Express,Patna Jn,Kota Jn,0,0,2182,Clear,Low,21.1,0,0,25.7
12626,Kerala Express,Vadodara Jn,Vijayawada Jn,2,0,1350,Heavy Rain,Low,24.2,0,1,81.9
22439,Vande Bharat Express,Kota Jn,Vadodara Jn,2,0,258,Clear,Low,19.7,1,0,67.8
12626,Kerala Express,Nagpur Jn,Mumbai Central,4,0,1865,Light Rain,Medium,26.7,1,1,106.0
12471,Swaraj Express,Mumbai Central,Mughal Sarai,5,1,491,Fog,High,19.2,0,0,78.4
12951,Mumbai Rajdhani Express,Chennai Central,New Delhi,3,0,1126,Clear,High,28.5,1,0,92.7
12841,Coromandel Express,Chennai Central,Nagpur Jn,2,0,1423,Clear,High,21.2,0,0,51.5
12471,Swaraj Express,Kanpur Central,Ajmer Jn,0,0,777,Clear,Low,22.2,0,0,16.1
12471,Swaraj Express,Lucknow NR,Surat,6,1,352,Clear,Low,16.5,0,0,16.2
12951,Mumbai Rajdhani Express,Patna Jn,New Delhi,6,1,823,Clear,Medium,13.0,0,0,45.1
12626,Kerala Express,Vadodara Jn,Mughal Sarai,6,1,418,Clear,Low,0.0,1,0,48.4
22439,Vande Bharat Express,Bhopal Jn,Vijayawada Jn,2,0,2088,Heavy Rain,Low,26.8,1,0,104.3
22439,Vande Bharat Express,Chennai Central,Patna Jn,3,0,252,Clear,High,34.4,0,0,58.1
12723,Telangana Express,Ajmer Jn,Kanpur Central,2,0,596,Fog,Low,36.1,0,0,59.2
12903,Golden Temple Mail,Howrah Jn,Mughal Sarai,6,1,179,Clear,Low,12.5,0,0,16.5
12471,Swaraj Express,Nagpur Jn,Vadodara Jn,0,0,1928,Storm,Low,13.7,0,0,62.1
12723,Telangana Express,Kanpur Central,Kota Jn,0,0,525,Clear,Low,13.5,0,0,12.7
12723,Telangana Express,Mumbai Central,Surat,0,0,987,Fog,Medium,5.5,0,0,59.2
12626,Kerala Express,Delhi Junction,New Delhi,1,0,2023,Clear,Medium,19.5,0,0,44.4
22439,Vande Bharat Express,New Delhi,Mumbai Central,5,1,394,Clear,Medium,0.0,0,0,18.4
12951,Mumbai Rajdhani Express,Ajmer Jn,New Delhi,2,0,805,Storm,Low,5.9,0,0,49.9
12626,Kerala Express,Kanpur Central,Howrah Jn,0,0,1861,Clear,Medium,18.9,0,0,38.1
12259,Sealdah Duronto Express,New Delhi,Kanpur Central,5,1,1529,Fog,High,0.0,0,0,89.0
12259,Sealdah Duronto Express,Kota Jn,Ajmer Jn,2,0,521,Light Rain,Low,1.8,0,0,20.3
12841,Coromandel Express,Surat,Patna Jn,3,0,2028,Clear,Low,17.2,0,0,32.3
12301,Howrah Rajdhani Express,Vadodara Jn,Delhi Junction,5,1,320,Heavy Rain,High,12.5,0,0,42.6
12471,Swaraj Express,Chennai Central,Howrah Jn,2,0,2116,Clear,High,34.8,0,0,58.2
12841,Coromandel Express,Howrah Jn,Vadodara Jn,6,1,940,Clear,High,27.3,0,0,34.8
12009,Shatabdi Express,New Delhi,Vadodara Jn,5,1,2022,Fog,High,47.3,0,0,92.2
12626,Kerala Express,Nagpur Jn,Patna Jn,1,0,1329,Light Rain,High,8.8,0,0,46.8
22439,Vande Bharat Express,Kota Jn,Lucknow NR,5,1,1885,Storm,Low,16.3,0,1,96.4
12723,Telangana Express,Kanpur Central,Nagpur Jn,5,1,1594,Clear,Low,14.8,0,0,18.1
12723,Telangana Express,Mughal Sarai,Vijayawada Jn,2,0,1039,Clear,High,16.7,0,0,41.5
12009,Shatabdi Express,Bhopal Jn,Delhi Junction,6,1,988,Clear,Low,43.2,0,1,50.8
12903,Golden Temple Mail,Nagpur Jn,Lucknow NR,0,0,1229,Clear,Low,14.4,0,0,5.7
12841,Coromandel Express,Vijayawada Jn,New Delhi,6,1,1287,Light Rain,High,35.6,0,0,84.0
12723,Telangana Express,Lucknow NR,Howrah Jn,6,1,1656,Storm,High,41.6,0,0,79.0
12723,Telangana Express,Bhopal Jn,Delhi Junction,6,1,2090,Clear,Medium,48.8,0,0,44.5
12626,Kerala Express,Mughal Sarai,Delhi Junction,0,0,2135,Clear,Medium,0.0,0,0,40.3
12301,Howrah Rajdhani Express,Mumbai Central,Vadodara Jn,2,0,2092,Fog,Medium,36.7,0,0,70.9
12626,Kerala Express,Bhopal Jn,Kanpur Central,0,0,1310,Clear,Medium,5.6,0,0,26.8
22439,Vande Bharat Express,Vadodara Jn,Delhi Junction,3,0,698,Fog,Medium,27.4,0,0,56.8
12903,Golden Temple Mail,Mumbai Central,Nagpur Jn,1,0,743,Clear,Medium,10.2,0,0,21.1
12471,Swaraj Express,Chennai Central,Delhi Junction,3,0,1727,Clear,Low,27.4,0,0,31.4
12723,Telangana Express,Vadodara Jn,Mughal Sarai,2,0,1961,Heavy Rain,Medium,29.4,0,1,97.9
12841,Coromandel Express,Vijayawada Jn,Mughal Sarai,6,1,1562,Heavy Rain,Medium,16.2,0,0,72.4
12626,Kerala Express,Lucknow NR,Chennai Central,5,1,2057,Storm,Medium,23.1,0,0,71.8
12471,Swaraj Express,Lucknow NR,Kanpur Central,1,0,1088,Heavy Rain,Low,0.0,0,0,33.8
12009,Shatabdi Express,Mumbai Central,Bhopal Jn,6,1,1044,Heavy Rain,High,6.1,0,0,64.4
12626,Kerala Express,Ajmer Jn,Kanpur Central,6,1,1068,Heavy Rain,Medium,16.9,0,0,64.7
22439,Vande Bharat Express,Kota Jn,Bhopal Jn,5,1,989,Clear,High,5.2,0,0,40.3
12626,Kerala Express,Kota Jn,Surat,6,1,1283,Clear,Medium,20.8,0,0,38.7
12951,Mumbai Rajdhani Express,Bhopal Jn,Vijayawada Jn,3,0,2020,Fog,High,13.9,0,0,91.4
12951,Mumbai Rajdhani Express,Vadodara Jn,Chennai Central,3,0,716,Storm,Medium,24.7,0,0,54.7
12009,Shatabdi Express,Mumbai Central,Mughal Sarai,5,1,375,Light Rain,Medium,24.2,0,0,53.0
12951,Mumbai Rajdhani Express,Mumbai Central,Surat,4,0,576,Clear,Low,0.9,0,0,11.4
12951,Mumbai Rajdhani Express,Kanpur Central,Mumbai Central,4,0,1255,Heavy Rain,Low,20.5,0,0,46.6
12259,Sealdah Duronto Express,Mumbai Central,Lucknow NR,0,0,792,Light Rain,Medium,31.8,0,0,44.7
12951,Mumbai Rajdhani Express,Kota Jn,Howrah Jn,4,0,873,Clear,Medium,7.4,0,0,10.0
22439,Vande Bharat Express,Patna Jn,Nagpur Jn,1,0,1682,Storm,Medium,10.3,0,0,94.9
12009,Shatabdi Express,Chennai Central,Kota Jn,4,0,2139,Light Rain,Medium,25.6,0,0,45.6
12301,Howrah Rajdhani Express,Mumbai Central,Patna Jn,1,0,168,Heavy Rain,High,18.9,0,0,69.8
12259,Sealdah Duronto Express,New Delhi,Kanpur Central,6,1,1302,Storm,High,27.2,0,0,83.4
12009,Shatabdi Express,Ajmer Jn,Mughal Sarai,2,0,1759,Fog,Low,36.9,0,0,58.6
12723,Telangana Express,Ajmer Jn,Mumbai Central,4,0,1715,Clear,Low,8.6,0,1,58.6
12009,Shatabdi Express,Lucknow NR,Bhopal Jn,5,1,1512,Light Rain,Low,29.2,0,0,34.6
12301,Howrah Rajdhani Express,Delhi Junction,Kanpur Central,4,0,1351,Fog,Medium,17.0,0,0,71.9
12903,Golden Temple Mail,Delhi Junction,Nagpur Jn,1,0,506,Clear,Low,0.0,0,0,9.9
12903,Golden Temple Mail,Bhopal Jn,Chennai Central,4,0,331,Clear,Low,6.2,1,0,38.0
12259,Sealdah Duronto Express,Bhopal Jn,Vijayawada Jn,1,0,400,Clear,Low,19.4,0,0,11.0
12723,Telangana Express,Howrah Jn,Vijayawada Jn,5,1,856,Heavy Rain,Low,11.8,0,0,33.2
12723,Telangana Express,Ajmer Jn,Patna Jn,3,0,168,Clear,Medium,0.0,0,0,15.6
12259,Sealdah Duronto Express,Vadodara Jn,Bhopal Jn,0,0,1851,Clear,Medium,0.0,0,0,32.8
12626,Kerala Express,Kanpur Central,Delhi Junction,0,0,1778,Light Rain,Low,24.6,0,0,42.6
22439,Vande Bharat Express,Patna Jn,Ajmer Jn,2,0,653,Clear,Medium,18.5,0,0,33.8
12723,Telangana Express,Lucknow NR,Delhi Junction,0,0,872,Heavy Rain,Medium,0.0,0,0,53.5
12009,Shatabdi Express,Vadodara Jn,Ajmer Jn,5,1,1319,Clear,Low,29.7,0,0,33.6
12471,Swaraj Express,Kota Jn,Vijayawada Jn,5,1,965,Clear,Medium,16.4,0,0,32.7
12301,Howrah Rajdhani Express,Ajmer Jn,Chennai Central,5,1,194,Heavy Rain,Low,8.1,0,0,48.2
12009,Shatabdi Express,Howrah Jn,Mumbai Central,4,0,426,Heavy Rain,Low,21.5,1,0,67.3
12841,Coromandel Express,Bhopal Jn,Chennai Central,3,0,320,Heavy Rain,Low,16.0,0,0,48.6
12471,Swaraj Express,Mughal Sarai,Delhi Junction,1,0,1289,Light Rain,High,10.2,0,0,49.8
12471,Swaraj Express,Howrah Jn,Vijayawada Jn,0,0,1225,Clear,Low,27.7,0,0,22.2
12301,Howrah Rajdhani Express,Vijayawada Jn,Lucknow NR,5,1,1072,Heavy Rain,Medium,14.5,0,0,48.6
12009,Shatabdi Express,Surat,Delhi Junction,4,0,1275,Heavy Rain,Medium,23.8,0,0,73.4
12009,Shatabdi Express,New Delhi,Vadodara Jn,0,0,838,Clear,Medium,24.9,0,0,36.3
12009,Shatabdi Express,Bhopal Jn,New Delhi,0,0,778,Clear,High,3.7,0,0,52.2
12471,Swaraj Express,Vadodara Jn,Kanpur Central,4,0,1246,Clear,Low,17.3,0,0,25.4
12903,Golden Temple Mail,Mumbai Central,Kanpur Central,4,0,1751,Light Rain,Low,20.5,0,0,32.9
12259,Sealdah Duronto Express,Bhopal Jn,Kota Jn,3,0,1657,Clear,Medium,3.2,0,0,39.6
12903,Golden Temple Mail,Howrah Jn,Ajmer Jn,1,0,1150,Clear,High,2.1,0,0,47.8
22439,Vande Bharat Express,Kota Jn,Delhi Junction,4,0,1637,Clear,High,24.0,0,0,65.3
12009,Shatabdi Express,Bhopal Jn,Ajmer Jn,1,0,1561,Clear,High,5.5,0,0,68.5
12471,Swaraj Express,Howrah Jn,Lucknow NR,0,0,869,Clear,Low,16.0,0,0,19.4
12723,Telangana Express,Kanpur Central,Lucknow NR,4,0,623,Light Rain,Low,9.0,0,1,65.0
12471,Swaraj Express,Kota Jn,New Delhi,6,1,1940,Clear,Medium,24.5,1,0,87.3
12951,Mumbai Rajdhani Express,Chennai Central,Kanpur Central,4,0,1041,Clear,Low,28.7,1,0,59.9
12841,Coromandel Express,Mughal Sarai,Bhopal Jn,3,0,1245,Fog,Medium,25.7,0,0,59.5
